Type of collision,2023-Accidents,2023-Killed,2023-injured,2024-Accidents,2024-Killed,2024-injured,%Change-Accidents,%Change-killed,%Change-Injured
Hit and Run,"68,783","31,209","54,574","68,584","34,030","51,517",-0.3,9,-5.6
% share,14.3,18.1,11.8,14.1,19.2,10.9,,,
With parked Vehicle,"13,810","5,636","12,575","11,198","4,486","10,608",-18.9,-20.4,-15.6
% share,2.9,3.3,2.7,2.3,2.5,2.3,,,
Hit from Back,"1,10,656","36,804","1,07,161","1,13,907","37,404","1,10,160",2.9,1.6,2.8
% share,23,21.3,23.2,23.4,21.1,23.4,,,
Hit from side,"73,805","20,623","74,017","77,112","21,716","78,302",4.5,5.3,5.8
% share,15.4,11.9,16,15.8,12.3,16.6,,,
Run off Road,"21,527","10,196","20,719","19,082","8,917","19,560",-11.4,-12.5,-5.6
% share,4.5,5.9,4.5,3.9,5,4.1,,,
Fixed object,"17,451","8,291","16,416","16,246","7,521","14,948",-6.9,-9.3,-8.9
% share,3.6,4.8,3.5,3.3,4.2,3.2,,,
Vehicle overturn,"18,905","9,124","21,216","17,296","8,419","19,401",-8.5,-7.7,-8.6
% share,3.9,5.3,4.6,3.5,4.8,4.1,,,
Head on collision,"84,348","28,898","89,867","84,429","28,400","91,863",0.1,-1.7,2.2
% share,17.6,16.7,19.4,17.3,16,19.5,,,
Others,"71,298","22,109","66,280","79,853","26,282","75,082",12,18.9,13.3
% share,14.8,12.8,14.3,16.4,14.8,15.9,,,
Total,"4,80,583","1,72,890","4,62,825","4,87,707","1,77,175","4,71,441",1.5,2.5,1.9
